Groupe_de_population,Catégorisation_population,population,EAT_AC_Code,EAT_AC_étiquette,NombreRépondants,PourcentageConsommateurs,Moy_grammes_par_kilogramme_de_poids_corporel_par_jour ,Moy_indicateur,Moy_ET,Moy_LCI,Moy_LCS,Moy_CV,C50,C50_ indicateur,C50_ET,C50_LCI,C50_LCS,C50_CV,C90,C90_ indicateur,C90_ET,C90_LCI,C90_LCS,C90_CV,C95,C95_ indicateur,C95_ET,C95_LCI,C95_LCS,C95_CV
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA01,Lait entier,3161,24.9,3.17,,0.31,2.56,3.79,9.78,0,,0.07,0,0.13,0,7.7,,1.06,5.61,9.79,13.77,19.92,,3.21,13.62,26.23,16.11
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA02,Lait 2 %,3161,48.3,4.56,,0.26,4.05,5.07,5.7,0,,0.05,0,0.09,0,15.49,,0.71,14.1,16.88,4.58,22.76,,1.34,20.12,25.4,5.89
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA03,Lait 1 %,3161,22.5,1.71,,0.23,1.25,2.18,13.45,0,,0.15,0,0.29,0,5.24,,0.81,3.65,6.83,15.46,10.83,,1.61,7.66,14,14.87
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA04,Lait écrémé,3161,13.4,0.42,E,0.1,0.22,0.61,23.81,0,,0.08,0,0.16,0,,F,,,,85.71,,F,,,,53.95
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA05,Lait évaporé en conserve,3161,0.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA06,Crème,3161,5.8,0.04,E,0.01,0.03,0.05,25,0,,0.58,0,1.15,0,0,,0.08,0,0.15,0,,F,,,,40
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA07,Crème glacée,3161,16.3,0.6,,0.05,0.5,0.7,8.33,0,,0.94,0,1.85,0,2.11,,0.25,1.62,2.6,11.85,4.29,,0.4,3.5,5.08,9.32
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA08,Yogourt,3161,30.8,1.67,,0.13,1.42,1.93,7.78,0,,0.71,0,1.39,0,5.63,,0.38,4.88,6.38,6.75,8.35,,0.69,7,9.71,8.26
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA09,Fromage,3161,32.2,0.42,,0.03,0.36,0.48,7.14,0,,0.08,0,0.16,0,1.29,,0.12,1.06,1.52,9.3,2.43,,0.23,1.98,2.88,9.47
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA10,Fromage cottage,3161,1.5,0.05,E,0.01,0.02,0.07,20,0,,25.13,0,49.37,0,0,,11.65,0,22.89,0,0,,3.78,0,7.43,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA11,Fromage fondu,3161,6.7,0.07,,0.01,0.04,0.09,14.29,0,,0.82,0,1.61,0,0,,0.11,0,0.22,0,,F,,,,43.75
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA12,Beurre,3161,17.6,0.05,,0,0.04,0.06,0,0,,0.06,0,0.12,0,0.18,,0.02,0.14,0.21,11.11,0.33,,0.03,0.27,0.38,9.09
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA13,Lait au chocolat 1 %,3161,8.4,0.72,,0.09,0.55,0.9,12.5,0,,6.4,0,12.58,0,0,,1.39,0,2.73,0,7.02,,0.79,5.47,8.58,11.25
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,AA14,Babeurre 1 %,3161,0.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,BB01,Bifteck,3161,5.3,0.11,E,0.02,0.07,0.15,18.18,0,,2.09,0,4.11,0,0,,0.29,0,0.56,0,,F,,,,42.86
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,BB02,Rôti de bœuf,3161,3.8,0.07,,0.01,0.04,0.09,14.29,0,,6.55,0,12.86,0,0,,0.53,0,1.04,0,0,,0.22,0,0.44,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,BB03,Bœuf haché,3161,10.9,0.13,,0.01,0.1,0.15,7.69,0,,0.43,0,0.85,0,,F,,,,38.1,0.92,,0.1,0.73,1.1,10.87
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,BB04,Porc frais,3161,10.8,0.19,,0.02,0.14,0.24,10.53,0,,0.65,0,1.28,0,,F,,,,39.29,1.26,E,0.23,0.8,1.71,18.25
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,BB05,Porc salé,3161,7,0.08,E,0.02,0.05,0.11,25,0,,0.57,0,1.12,0,0,,0.06,0,0.12,0,,F,,,,33.33
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,BB06,Escalopes de veau,3161,0.5,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,BB07,Agneau,3161,0.9,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,BB08,Viandes à sandwich_viandes froides,3161,2.8,,F,,,,33.33,0,,39.9,0,78.4,0,0,,2.12,0,4.16,0,0,,0.34,0,0.68,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,BB09,Viandes froides en conserve,3161,0.2,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,BB10,Abats ,3161,0.2,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,BB11,Saucisses fraîches et fumées,3161,5.5,0.14,,0.02,0.1,0.19,14.29,0,,2.66,0,5.22,0,0,,0.43,0,0.85,0,,F,,,,53.33
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,CC01,Œufs,3161,28.9,0.49,,0.04,0.42,0.56,8.16,0,,0.04,0,0.08,0,1.77,,0.21,1.37,2.17,11.86,3.07,,0.18,2.71,3.42,5.86
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,CC02,Volaille_poulet et dinde,3161,28.2,0.75,,0.06,0.63,0.87,8,0,,0.24,0,0.48,0,2.37,,0.19,2.01,2.74,8.02,4.1,,0.36,3.4,4.8,8.78
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,CC03,Pâtés de foie de volaille,3161,0,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,DD01,Poisson marin,3161,6.7,0.19,E,0.04,0.12,0.26,21.05,0,,2.9,0,5.71,0,0,,0.34,0,0.67,0,,F,,,,40.79
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,DD02,Poissons d’eau douce,3161,0.8,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,DD03,Poisson en conserve,3161,2.3,,F,,,,33.33,0,,68.48,0,134.54,0,0,,10.92,0,21.45,0,0,,1.97,0,3.87,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,DD04,Les mollusques et crustacés,3161,3.3,0.04,E,0.01,0.02,0.05,25,0,,24.41,0,47.96,0,0,,1.1,0,2.17,0,0,,0.25,0,0.49,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,EE01,Soupes en conserve avec viande ,3161,1.5,0.11,E,0.02,0.07,0.15,18.18,0,,28.85,0,56.68,0,0,,16.2,0,31.82,0,0,,6.32,0,12.41,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,EE02,Soupes en conserve à base de crème,3161,2.1,0.11,E,0.03,0.06,0.17,27.27,0,,66.96,0,131.55,0,0,,8.97,0,17.63,0,0,,1.74,0,3.42,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,EE03,Soupes_bouillons en conserve,3161,10.3,0.36,,0.05,0.27,0.44,13.89,0,,2.41,0,4.73,0,,F,,,,150,2.88,E,0.5,1.9,3.86,17.36
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,EE04,Soupes déshydratées,3161,2.8,0.09,E,0.02,0.04,0.13,22.22,0,,62.7,0,123.19,0,0,,5.57,0,10.95,0,0,,0.99,0,1.95,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF01,Pain blanc,3161,22.1,0.42,,0.03,0.35,0.49,7.14,0,,0.61,0,1.2,0,1.63,,0.12,1.39,1.87,7.36,2.64,,0.14,2.37,2.91,5.3
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF02,Pain de blé entier,3161,11.1,0.24,,0.02,0.19,0.28,8.33,0,,0.89,0,1.75,0,,F,,,,33.33,1.97,,0.22,1.53,2.41,11.17
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF03,Pain de seigle,3161,1.7,,F,,,,50,0,,30.81,0,60.54,0,0,,6.19,0,12.16,0,0,,1.05,0,2.07,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF04,Gâteau,3161,12.5,0.28,,0.03,0.21,0.34,10.71,0,,0.78,0,1.52,0,0.67,E,0.17,0.33,1.01,25.37,1.84,E,0.32,1.21,2.46,17.39
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF05,Céréales de blé à cuire,3161,0.4,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF06,Céréales de maïs,3161,4,,F,,,,33.33,0,,1.58,0,3.1,0,0,,0.22,0,0.43,0,0,,0.13,0,0.26,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF07,Céréales d’avoine,3161,7.1,0.42,,0.06,0.3,0.53,14.29,0,,4.6,0,9.03,0,0,,0.71,0,1.4,0,2.79,E,0.81,1.21,4.37,29.03
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF08,Céréales de riz et de son,3161,4.5,0.05,E,0.01,0.03,0.07,20,0,,1.34,0,2.63,0,0,,0.33,0,0.65,0,0,,0.13,0,0.25,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF09,Biscuits,3161,29.4,0.32,,0.02,0.28,0.37,6.25,0,,0.11,0,0.21,0,1.15,,0.09,0.98,1.32,7.83,1.79,,0.14,1.52,2.06,7.82
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF10,Craquelins,3161,22.9,0.23,,0.02,0.18,0.28,8.7,0,,0.14,0,0.27,0,0.78,,0.08,0.61,0.94,10.26,1.36,,0.19,0.99,1.73,13.97
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF11,Danoises_beignes et croissants,3161,7.1,0.19,,0.03,0.14,0.24,15.79,0,,1.74,0,3.41,0,0,,0.33,0,0.64,0,1.44,E,0.33,0.79,2.09,22.92
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF12,Farine blanche (de blé),3161,15,0.07,,0.01,0.06,0.09,14.29,0,,0.07,0,0.15,0,0.1,E,0.03,0.05,0.16,30,0.42,E,0.08,0.25,0.58,19.05
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF13,Muffins,3161,7.8,0.21,,0.03,0.16,0.27,14.29,0,,1.66,0,3.26,0,0,,0.37,0,0.72,0,1.91,,0.28,1.36,2.47,14.66
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF14,Crêpes et gaufres,3161,7.8,0.17,,0.02,0.13,0.21,11.76,0,,1.19,0,2.35,0,0,,0.32,0,0.64,0,1.56,E,0.28,1.02,2.11,17.95
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF15,Pâtes_plats composés,3161,10.6,0.85,,0.1,0.65,1.05,11.76,0,,3.57,0,7.01,0,,F,,,,66.36,6.99,,0.68,5.66,8.32,9.73
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF16,Pâtes nature,3161,22.5,0.95,,0.07,0.81,1.1,7.37,0,,0.79,0,1.55,0,3.61,,0.3,3.01,4.21,8.31,6.34,,0.59,5.17,7.51,9.31
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF17,Tarte aux pommes,3161,0.6,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF18,Tartes_autres,3161,0.9,0.01,,0,0.01,0.02,0,0,,27.38,0,53.79,0,0,,8.01,0,15.74,0,0,,6.43,0,12.64,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF19,Riz,3161,27.2,1.09,,0.08,0.94,1.24,7.34,0,,0.56,0,1.1,0,4.29,,0.3,3.7,4.88,6.99,5.96,,0.47,5.05,6.88,7.89
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF20,Petits pains et pains mollets,3161,3.8,0.05,E,0.01,0.03,0.07,20,0,,7.09,0,13.93,0,0,,0.4,0,0.78,0,0,,0.25,0,0.5,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,FF21,Pains_autres,3161,17.1,0.44,,0.04,0.36,0.53,9.09,0,,0.76,0,1.49,0,1.75,,0.18,1.39,2.1,10.29,3.03,,0.19,2.66,3.39,6.27
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG01,Fèves au lard en conserve,3161,0.6,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG02,Haricots,3161,6.5,0.07,,0.01,0.05,0.09,14.29,0,,1.31,0,2.57,0,0,,0.15,0,0.29,0,,F,,,,40.74
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG03,Betteraves,3161,0.4,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG04,Brocoli,3161,9.2,0.16,,0.02,0.12,0.2,12.5,0,,0.7,0,1.37,0,0,,0.09,0,0.19,0,0.99,E,0.2,0.59,1.39,20.2
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG05,Chou,3161,5.4,0.07,E,0.02,0.04,0.1,28.57,0,,1.33,0,2.61,0,0,,0.08,0,0.15,0,,F,,,,66.67
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG06,Carottes,3161,27.2,0.34,,0.03,0.29,0.4,8.82,0,,0.09,0,0.18,0,1.05,,0.16,0.74,1.36,15.24,2.28,,0.22,1.85,2.71,9.65
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG07,Choux-fleurs,3161,3.3,0.05,E,0.01,0.03,0.06,20,0,,7.75,0,15.23,0,0,,0.66,0,1.29,0,0,,0.24,0,0.47,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG08,Céleri,3161,12.6,0.04,E,0.01,0.03,0.06,25,0,,0.11,0,0.22,0,,F,,,,33.33,0.25,,0.02,0.2,0.3,8
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG09,Maïs,3161,7,0.12,E,0.02,0.08,0.15,16.67,0,,1.54,0,3.02,0,0,,0.16,0,0.31,0,0.54,E,0.16,0.22,0.86,29.63
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG10,Concombres,3161,18.9,0.43,,0.05,0.33,0.53,11.63,0,,0.24,0,0.48,0,1.02,E,0.17,0.69,1.36,16.67,2.73,,0.26,2.22,3.23,9.52
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG11,Laitue,3161,13.2,0.1,,0.01,0.07,0.12,10,0,,0.2,0,0.39,0,,F,,,,35,0.64,,0.08,0.49,0.79,12.5
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG12,Champignons,3161,6.2,0.03,,0,0.02,0.04,0,0,,0.58,0,1.15,0,0,,0.06,0,0.12,0,,F,,,,42.86
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG13,Oignons,3161,29.4,0.15,,0.01,0.12,0.17,6.67,0,,0.03,0,0.05,0,0.44,,0.04,0.37,0.52,9.09,0.8,,0.07,0.67,0.93,8.75
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG14,Pois,3161,6.7,0.08,E,0.02,0.05,0.12,25,0,,0.75,0,1.48,0,0,,0.1,0,0.21,0,,F,,,,37.5
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG15,Poivrons,3161,12.6,0.1,,0.01,0.08,0.13,10,0,,0.19,0,0.37,0,,F,,,,57.14,0.5,E,0.11,0.29,0.72,22
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG16,Pommes de terre bouillies,3161,16.9,0.37,,0.03,0.31,0.44,8.11,0,,0.36,0,0.72,0,0.92,E,0.16,0.61,1.23,17.39,2.45,,0.25,1.96,2.95,10.2
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG17,Pommes de terre croustilles,3161,11,0.1,,0.01,0.08,0.12,10,0,,0.47,0,0.91,0,,F,,,,47.06,0.71,,0.07,0.57,0.85,9.86
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG18,Rutabaga,3161,0.9,0.01,,0,0,0.01,0,0,,20.1,0,39.5,0,0,,7.12,0,13.99,0,0,,4.91,0,9.64,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG19,Jus de légumes en conserve,3161,1.2,0.07,E,0.02,0.03,0.12,28.57,0,,50.46,0,99.14,0,0,,19.26,0,37.83,0,0,,11.2,0,22.01,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG20,Tomates,3161,15.8,0.33,,0.04,0.25,0.4,12.12,0,,0.39,0,0.76,0,0.64,E,0.14,0.37,0.91,21.88,2.04,,0.24,1.56,2.51,11.76
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG21,Tomates en conserve et sauces tomate en conserve,3161,15.7,0.53,,0.06,0.41,0.65,11.32,0,,0.75,0,1.48,0,1.8,,0.28,1.25,2.36,15.56,3.64,,0.47,2.73,4.56,12.91
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG22,Épinards,3161,4.7,,F,,,,33.33,0,,2.6,0,5.1,0,0,,0.21,0,0.41,0,0,,0.06,0,0.13,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG23,Asperges,3161,1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG24,Choux de Bruxelles,3161,0.4,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG26,Pommes de terre au four,3161,3.5,0.18,E,0.05,0.08,0.28,27.78,0,,41.54,0,81.61,0,0,,1.36,0,2.67,0,0,,0.36,0,0.71,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,GG27,Croustilles de maïs,3161,6,0.07,,0.01,0.04,0.1,14.29,0,,0.59,0,1.16,0,0,,0.12,0,0.24,0,0.36,E,0.11,0.14,0.57,30.56
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH01,Jus de pommes en conserve,3161,13.8,1.38,,0.13,1.12,1.64,9.42,0,,2.22,0,4.36,0,4.82,E,1,2.85,6.78,20.75,10.61,,0.88,8.89,12.34,8.29
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH02,Compote de pommes en conserve,3161,5.6,0.3,,0.04,0.23,0.38,13.33,0,,4.91,0,9.64,0,0,,0.87,0,1.71,0,1.8,E,0.57,0.68,2.91,31.67
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH03,Pommes,3161,27.9,1.5,,0.09,1.33,1.67,6,0,,0.88,0,1.73,0,5.72,,0.36,5,6.44,6.29,8.37,,0.38,7.62,9.11,4.54
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH04,Bananes,3161,23.3,0.87,,0.06,0.76,0.99,6.9,0,,1.15,0,2.27,0,3.37,,0.25,2.88,3.86,7.42,5.55,,0.31,4.94,6.16,5.59
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH05,Bleuets,3161,8,0.2,,0.03,0.14,0.26,15,0,,1.85,0,3.63,0,0,,0.18,0,0.36,0,,F,,,,36.45
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH06,Cerises,3161,1.9,,F,,,,33.33,0,,77.71,0,152.68,0,0,,17.24,0,33.86,0,0,,5.82,0,11.44,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH07,Agrumes crus,3161,19.1,0.71,,0.06,0.58,0.83,8.45,0,,0.45,0,0.89,0,2.77,,0.36,2.07,3.47,13,5.02,,0.3,4.43,5.62,5.98
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH08,Jus d’agrumes surgelé,3161,0.9,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH09,Jus d’agrumes en conserve,3161,16,1.31,,0.12,1.07,1.54,9.16,0,,2.14,0,4.2,0,5.5,,0.52,4.49,6.52,9.45,9.01,,0.73,7.57,10.45,8.1
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH10,Jus de raisin embouteillé,3161,1.1,,F,,,,,,F,,,,,,F,,,,,,F,,,,
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH11,Raisins,3161,13.2,0.39,,0.04,0.31,0.47,10.26,0,,1.57,0,3.09,0,1.03,E,0.28,0.48,1.57,27.18,2.72,,0.43,1.88,3.56,15.81
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH12,Melons,3161,7.3,0.66,,0.09,0.48,0.84,13.64,0,,4.48,0,8.8,0,0,,0.83,0,1.63,0,3.75,E,0.86,2.06,5.44,22.93
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH13,Pêches,3161,3.2,0.13,,0.02,0.09,0.18,15.38,0,,22.9,0,44.99,0,0,,1.64,0,3.23,0,0,,0.71,0,1.39,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH14,Poires,3161,3.9,0.18,E,0.03,0.11,0.24,16.67,0,,15.09,0,29.65,0,0,,1.18,0,2.32,0,0,,0.69,0,1.35,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH15,Ananas,3161,3.4,0.11,E,0.02,0.06,0.15,18.18,0,,19.96,0,39.21,0,0,,1.29,0,2.53,0,0,,0.4,0,0.79,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH16,Prunes et pruneaux,3161,1.8,,F,,,,37.5,0,,65.74,0,129.17,0,0,,17.51,0,34.41,0,0,,6.12,0,12.02,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH17,Raisins secs,3161,2.3,,F,,,,60,0,,51.2,0,100.6,0,0,,2.66,0,5.22,0,0,,0.24,0,0.47,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH18,Framboises,3161,4.5,0.08,E,0.02,0.04,0.11,25,0,,4.4,0,8.64,0,0,,0.25,0,0.49,0,0,,0.09,0,0.17,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH19,Fraises,3161,15.2,0.46,,0.07,0.32,0.6,15.22,0,,0.53,0,1.05,0,1.28,E,0.22,0.84,1.72,17.19,3.08,,0.41,2.26,3.89,13.31
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH20,Kiwis,3161,2.6,0.09,E,0.02,0.04,0.13,22.22,0,,43.29,0,85.05,0,0,,5.68,0,11.16,0,0,,1.61,0,3.16,0
Toutes les personnes,Adultes(19 ans+)_Enfants(1-18 ans)_H_F_séparés,1-18 ans F,HH21,Abricots,3161,0.5,,F,,,,,,F,,,,,,F,,,,,,F,,,,
